Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Status,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework,Time Allocation,Reading and Note Taking,Study Period Procedures,Examination,Teachers Consultation
Lisa Ward,4,21239278,1.25,2.25,2.5,4.0,1.75,Irregular,,,,2.35,1,No,Good,Digital,Flashcards,7.0,No
Sarah Cruz MD,3,22658997,2.5,3.0,2.25,1.75,4.0,Irregular,3.0,2.75,,2.75,1,Yes,Fair,Handwritten,Flashcards,8.0,No
Teresa Howard,1,24858951,2.25,5.0,3.0,2.75,2.5,Irregular,,,,3.16,1,Yes,Poor,Handwritten,Flashcards,12.0,No
Joseph Ford,2,23511943,3.0,2.5,3.0,1.0,2.25,Regular,2.5,2.25,1.25,2.18,0,No,Fair,Digital,Group Discussions,17.0,Yes
Lance Smith,3,22841695,4.0,2.75,2.0,3.0,1.25,Irregular,1.25,1.0,,2.18,1,Yes,Good,Handwritten,Flashcards,10.0,Yes
Melanie Arnold,2,23603559,1.75,1.25,2.75,2.25,5.0,Irregular,2.0,4.0,4.0,2.92,3,Yes,Fair,Digital,Group Discussions,16.0,No
Keith Lowery,1,24524974,2.5,3.0,2.5,2.25,1.0,Regular,,,,2.23,0,Yes,Fair,Handwritten,Flashcards,6.0,No
Kelli Bennett,1,24365406,1.5,1.25,1.75,1.25,1.75,Regular,,,,1.5,0,Yes,Good,Handwritten,Flashcards,9.0,Yes
Jesus Benjamin,2,23398189,2.5,2.25,5.0,1.25,2.0,Irregular,2.75,2.0,1.75,2.43,1,No,Fair,Handwritten,Pomodoro,4.0,No
Manuel Warren,4,21292203,2.0,2.25,2.0,2.0,5.0,Irregular,,,,2.65,1,Yes,Fair,Digital,Flashcards,14.0,No
David Green,1,24671460,5.0,1.0,4.0,3.0,2.5,Irregular,,,,2.96,2,Yes,Good,Handwritten,Pomodoro,6.0,No
Brandon Carey,4,21395875,1.0,4.0,1.5,1.5,2.25,Irregular,,,,2.05,1,Yes,Poor,Digital,Summarizing,13.0,No
Michael Freeman,2,23822097,2.5,2.75,4.0,3.0,1.5,Irregular,2.75,2.75,5.0,3.05,2,No,Fair,Digital,Flashcards,2.0,No
Jordan Johnson,2,23917265,2.25,2.0,3.0,2.5,1.5,Regular,1.0,2.75,2.0,2.12,0,No,Good,Handwritten,Pomodoro,11.0,No
Calvin Cervantes,3,22182119,3.0,2.0,5.0,5.0,2.75,Irregular,2.25,2.5,,3.21,2,No,Good,Handwritten,Group Discussions,15.0,Yes
Tonya Vazquez,1,24086223,5.0,1.75,1.0,1.25,1.25,Irregular,,,,1.84,1,No,Good,Handwritten,Group Discussions,4.0,Yes
Kevin Alvarado,1,24280132,2.75,3.0,2.75,2.75,2.25,Regular,,,,2.7,0,No,Fair,Handwritten,Flashcards,2.0,Yes
Jason Flynn,2,23137765,2.75,1.75,2.0,2.75,4.0,Irregular,2.0,2.75,2.25,2.52,1,No,Poor,Digital,Pomodoro,16.0,No
Andre English,4,21518936,2.75,1.0,2.25,2.0,1.25,Regular,,,,1.85,0,No,Poor,Digital,Pomodoro,15.0,No
Lawrence Compton,3,22208378,2.75,2.0,5.0,3.0,2.75,Irregular,2.25,3.0,,2.96,1,No,Good,Handwritten,Pomodoro,9.0,No
Dennis Rogers,2,23698265,1.75,1.0,4.0,2.0,2.5,Irregular,2.75,1.25,1.25,2.08,1,Yes,Poor,Handwritten,Group Discussions,11.0,Yes
Jon Smith,4,21457098,1.25,2.0,3.0,2.0,1.5,Regular,,,,1.95,0,No,Good,Handwritten,Flashcards,20.0,Yes
Yvette Lewis,1,24269367,1.5,2.5,2.25,1.0,2.25,Regular,,,,1.93,0,No,Good,Digital,Group Discussions,4.0,Yes
James Bush,4,21538751,1.25,5.0,2.0,2.5,2.25,Irregular,,,,2.6,1,No,Fair,Digital,Pomodoro,14.0,No
Scott Gould,4,21781499,2.25,3.0,1.0,2.75,4.0,Irregular,,,,2.6,1,Yes,Poor,Digital,Summarizing,17.0,Yes
Bruce Lawson,4,21988744,1.25,1.25,1.25,2.5,2.75,Regular,,,,1.8,0,Yes,Poor,Handwritten,Pomodoro,2.0,No
Jason Gonzalez,4,21414675,1.0,2.25,5.0,2.5,5.0,Irregular,,,,3.15,2,Yes,Fair,Digital,Flashcards,14.0,Yes
Jennifer Bass,2,23441912,1.5,2.75,2.0,1.5,2.25,Regular,1.75,2.25,1.5,1.96,0,Yes,Good,Handwritten,Group Discussions,5.0,Yes
Nichole Wade,2,23072692,1.25,1.0,4.0,1.75,2.5,Irregular,1.75,3.0,1.25,2.1,1,No,Good,Digital,Pomodoro,12.0,Yes
Nancy Ballard,3,22536514,2.5,1.75,3.0,2.25,1.75,Regular,1.5,2.0,,2.11,0,No,Poor,Handwritten,Pomodoro,9.0,Yes
Christopher Hall,1,24464496,2.75,4.0,1.25,2.5,4.0,Irregular,,,,2.91,2,No,Poor,Handwritten,Summarizing,20.0,No
Audrey Farmer,4,21246713,1.75,5.0,1.0,2.0,2.5,Irregular,,,,2.45,1,No,Poor,Digital,Group Discussions,3.0,No
Adrian Gross,2,23647433,1.25,2.0,3.0,1.75,4.0,Irregular,2.0,1.5,3.0,2.36,1,Yes,Good,Digital,Flashcards,9.0,Yes
Rachel Wood,3,22822797,5.0,2.5,2.25,4.0,1.25,Irregular,1.5,1.25,,2.54,2,Yes,Poor,Handwritten,Flashcards,8.0,No
Nancy Hall,3,22196871,3.0,2.5,2.75,4.0,3.0,Irregular,2.0,2.5,,2.82,1,Yes,Poor,Digital,Pomodoro,9.0,No
Antonio Torres,2,23656787,4.0,3.0,2.5,2.5,3.0,Irregular,2.5,2.5,4.0,2.96,2,Yes,Good,Digital,Summarizing,15.0,No
Crystal Flowers,4,21348621,5.0,1.25,2.75,1.5,2.25,Irregular,,,,2.55,1,Yes,Fair,Digital,Group Discussions,19.0,No
Tiffany Hill,3,22627295,2.25,1.25,5.0,2.5,2.75,Irregular,2.25,2.75,,2.68,1,No,Fair,Digital,Flashcards,5.0,Yes
Paula Williams,4,21569515,2.5,1.75,1.0,2.5,1.0,Regular,,,,1.75,0,No,Good,Digital,Summarizing,8.0,Yes
Brian Rivera,3,22539187,2.0,3.0,5.0,2.75,1.0,Irregular,4.0,2.75,,2.93,2,Yes,Fair,Digital,Group Discussions,12.0,Yes
Tracy Garrison,2,23101594,3.0,2.0,3.0,2.75,2.0,Irregular,1.75,2.25,5.0,2.71,1,No,Fair,Digital,Summarizing,14.0,No
Kevin Shaw,2,23673701,1.5,2.0,1.75,2.25,1.75,Irregular,5.0,2.75,1.25,2.32,1,No,Good,Handwritten,Group Discussions,12.0,Yes
Douglas Shaw,4,21773811,1.5,1.5,3.0,3.0,2.25,Regular,,,,2.25,0,No,Good,Digital,Pomodoro,4.0,Yes
Michelle Turner,1,24634401,2.25,2.5,2.25,2.25,2.0,Regular,,,,2.25,0,Yes,Good,Handwritten,Summarizing,16.0,No
Dr. Elizabeth Anderson,2,23111566,3.0,1.5,3.0,1.25,1.25,Regular,3.0,1.0,2.0,1.96,0,Yes,Fair,Handwritten,Pomodoro,18.0,No
Harold Castillo,3,22579381,2.0,1.0,1.25,2.0,2.5,Regular,1.75,2.75,,1.89,0,Yes,Poor,Handwritten,Flashcards,15.0,No
Lawrence Cortez,1,24058950,2.0,5.0,4.0,1.0,2.75,Irregular,,,,3.02,2,Yes,Poor,Digital,Pomodoro,20.0,No
Carl Gonzales,3,22759682,1.25,3.0,2.25,1.5,2.25,Regular,1.5,3.0,,2.11,0,Yes,Good,Handwritten,Summarizing,5.0,No
Nichole Walton,3,22972379,1.5,2.25,2.0,1.25,4.0,Irregular,2.5,2.0,,2.21,1,Yes,Good,Handwritten,Flashcards,9.0,Yes
Martin Phillips,3,22470578,1.25,2.75,1.25,4.0,2.0,Irregular,1.75,2.5,,2.21,1,No,Good,Handwritten,Pomodoro,19.0,Yes
Sara Oconnor,4,21025808,3.0,2.25,5.0,2.0,2.5,Irregular,,,,2.95,1,Yes,Good,Digital,Summarizing,15.0,Yes
Nathaniel Johnston,3,22606398,2.25,1.25,4.0,3.0,5.0,Irregular,3.0,5.0,,3.36,3,Yes,Good,Handwritten,Flashcards,18.0,No
Amy Smith,3,22417452,1.0,2.75,1.5,2.25,1.5,Regular,1.0,2.5,,1.79,0,Yes,Good,Handwritten,Group Discussions,15.0,No
William Reed,3,22776350,1.0,2.5,2.5,2.0,2.25,Irregular,5.0,2.0,,2.46,1,Yes,Fair,Handwritten,Pomodoro,4.0,No
Cindy Romero,1,24182999,2.25,1.0,2.5,2.25,4.0,Irregular,,,,2.41,1,Yes,Poor,Handwritten,Pomodoro,3.0,Yes
Emily Miller,4,21598098,5.0,1.25,2.75,2.25,3.0,Irregular,,,,2.85,1,No,Good,Digital,Flashcards,12.0,No
Angel Johnson,2,23369197,2.75,2.5,5.0,1.5,1.5,Irregular,2.75,1.25,2.75,2.49,1,Yes,Fair,Digital,Flashcards,14.0,No
Gregory Martin,1,24832564,3.0,1.0,1.75,5.0,1.25,Irregular,,,,2.36,1,No,Fair,Handwritten,Flashcards,5.0,Yes
Melinda Hines,3,22922542,5.0,1.75,4.0,2.25,2.5,Irregular,1.75,3.0,,2.89,2,No,Good,Handwritten,Pomodoro,10.0,No
Emily Johnson,1,24263560,3.0,2.25,1.0,4.0,3.0,Irregular,,,,2.62,1,Yes,Fair,Handwritten,Flashcards,20.0,No
Charles Richardson,1,24130273,3.0,1.5,2.25,1.5,2.25,Regular,,,,2.04,0,No,Poor,Digital,Group Discussions,19.0,Yes
Nicole Conrad,2,23350357,2.75,5.0,5.0,5.0,2.75,Irregular,4.0,5.0,2.25,4.02,5,Yes,Poor,Digital,Pomodoro,20.0,No
Lindsay Espinoza,2,23228363,2.75,1.5,4.0,2.5,2.5,Irregular,2.75,2.5,2.75,2.65,1,No,Fair,Handwritten,Group Discussions,19.0,No
Teresa Garrett,4,21801259,5.0,3.0,3.0,1.5,2.75,Irregular,,,,3.05,1,No,Poor,Digital,Pomodoro,2.0,No
Sara Delacruz,4,21783946,2.0,4.0,2.25,1.5,1.75,Irregular,,,,2.3,1,Yes,Fair,Digital,Summarizing,2.0,No
Laura Oconnell,4,21566783,4.0,1.5,1.75,2.25,1.25,Irregular,,,,2.15,1,Yes,Poor,Handwritten,Pomodoro,4.0,Yes
Gerald Carney,1,24686892,2.75,3.0,1.25,2.0,4.0,Irregular,,,,2.59,1,No,Poor,Digital,Summarizing,15.0,Yes
Linda Gray,3,22860537,1.5,2.75,3.0,4.0,3.0,Irregular,2.75,1.75,,2.68,1,Yes,Good,Handwritten,Pomodoro,16.0,No
Kenneth Salinas,2,23322397,1.25,1.5,2.25,2.75,5.0,Irregular,2.75,2.5,2.5,2.62,1,Yes,Good,Digital,Summarizing,15.0,No
Bryce Miller,2,23036368,5.0,2.0,5.0,1.0,1.25,Irregular,2.0,5.0,5.0,3.21,4,No,Fair,Digital,Pomodoro,3.0,Yes
Scott Oliver,4,21737158,3.0,4.0,5.0,1.0,5.0,Irregular,,,,3.6,3,No,Good,Handwritten,Pomodoro,13.0,Yes
Samantha Johnson,1,24970978,3.0,1.0,1.0,1.25,3.0,Regular,,,,1.77,0,Yes,Poor,Digital,Flashcards,14.0,No
Caitlyn Roberts,2,23434252,1.25,2.75,1.0,2.0,5.0,Irregular,4.0,1.0,2.0,2.42,2,No,Poor,Digital,Summarizing,16.0,Yes
Joseph Nguyen,1,24465623,2.0,2.0,2.5,5.0,1.25,Irregular,,,,2.59,1,Yes,Good,Handwritten,Group Discussions,15.0,Yes
Robert Kirk,3,22388600,1.75,3.0,1.75,1.5,1.5,Irregular,5.0,1.5,,2.29,1,Yes,Poor,Handwritten,Pomodoro,14.0,No
Stacey Nichols,4,21199505,2.5,5.0,2.0,5.0,2.5,Irregular,,,,3.4,2,Yes,Fair,Digital,Flashcards,4.0,Yes
Robert Gardner,2,23229615,2.25,1.0,2.0,1.75,1.0,Regular,2.5,2.0,1.75,1.76,0,Yes,Good,Digital,Pomodoro,20.0,No
Brandon Huff,2,23169237,2.5,1.5,5.0,1.0,1.25,Irregular,5.0,4.0,2.5,2.86,3,No,Poor,Digital,Group Discussions,3.0,No
William Perez,4,21529155,2.25,1.75,2.5,1.5,1.25,Regular,,,,1.85,0,No,Good,Digital,Pomodoro,4.0,No
Mark Lyons,2,23528759,2.5,5.0,1.0,5.0,2.5,Irregular,2.25,2.0,1.5,2.73,2,Yes,Fair,Handwritten,Group Discussions,17.0,No
Elizabeth Rodriguez,2,23161983,1.5,1.25,4.0,1.5,3.0,Irregular,5.0,5.0,3.0,3.1,3,No,Fair,Digital,Flashcards,5.0,No
Heather Rodriguez,3,22294984,5.0,2.25,1.75,2.25,1.0,Irregular,1.0,5.0,,2.61,2,No,Poor,Handwritten,Summarizing,12.0,Yes
Gregory Johnson,1,24935035,2.25,2.5,2.0,2.0,1.5,Regular,,,,2.04,0,Yes,Fair,Digital,Flashcards,18.0,Yes
Sarah Hoffman MD,3,22190926,2.25,1.0,2.75,5.0,2.5,Irregular,4.0,1.25,,2.68,2,No,Good,Handwritten,Flashcards,20.0,Yes
Joshua Peterson,3,22384817,2.75,2.0,1.75,5.0,4.0,Irregular,2.5,2.25,,2.89,2,Yes,Fair,Handwritten,Flashcards,17.0,No
Brooke Roberts,2,23141278,2.5,4.0,2.25,3.0,2.0,Irregular,5.0,1.5,1.25,2.7,2,Yes,Poor,Handwritten,Summarizing,3.0,Yes
Wanda Nichols,4,21815450,2.5,3.0,2.25,1.25,1.75,Regular,,,,2.15,0,Yes,Fair,Digital,Summarizing,1.0,Yes
Michael Schmitt,1,24919789,1.75,1.5,2.5,2.75,1.75,Regular,,,,2.07,0,Yes,Good,Handwritten,Flashcards,6.0,No
Craig Anderson,2,23169372,2.25,1.25,2.25,2.5,5.0,Irregular,2.5,5.0,4.0,3.13,3,Yes,Poor,Handwritten,Summarizing,9.0,No
Sara Rogers,1,24456869,1.25,2.5,2.0,2.25,4.0,Irregular,,,,2.48,1,No,Poor,Digital,Summarizing,8.0,No
Alexis Davis,4,21048708,1.75,1.5,2.25,3.0,1.0,Regular,,,,1.9,0,Yes,Fair,Digital,Pomodoro,16.0,No
Ryan Lawson,4,21032785,2.5,5.0,2.5,2.5,1.25,Irregular,,,,2.75,1,No,Fair,Digital,Summarizing,13.0,Yes
Michael Hutchinson,1,24973212,1.25,1.75,3.0,5.0,1.75,Irregular,,,,2.64,1,Yes,Good,Handwritten,Group Discussions,10.0,Yes
John Ware,3,22250244,1.0,2.75,5.0,2.0,1.25,Irregular,2.75,3.0,,2.54,1,No,Poor,Digital,Pomodoro,13.0,No
Douglas Whitaker,4,21027095,1.0,3.0,2.75,3.0,4.0,Irregular,,,,2.75,1,No,Good,Digital,Flashcards,13.0,No
Philip Miller,2,23798612,2.75,1.0,1.75,1.75,2.25,Regular,2.75,2.0,1.75,1.97,0,No,Fair,Digital,Pomodoro,3.0,No
Jeremiah Stone,4,21866153,1.25,2.75,3.0,2.5,4.0,Irregular,,,,2.7,1,No,Poor,Handwritten,Pomodoro,3.0,No
Brad Miller,1,24292755,3.0,2.75,5.0,1.75,1.5,Irregular,,,,2.79,1,No,Fair,Handwritten,Flashcards,1.0,No
Elizabeth Reed,3,22996419,1.25,1.5,2.0,1.5,1.5,Regular,2.25,2.0,,1.71,0,Yes,Poor,Digital,Pomodoro,10.0,Yes
Melissa Wallace,2,23852554,1.75,2.75,3.0,1.5,5.0,Irregular,2.75,4.0,1.0,2.76,2,Yes,Poor,Digital,Flashcards,7.0,Yes
Jimmy Anthony,3,22041479,1.5,4.0,2.0,5.0,1.25,Irregular,2.75,3.0,,2.79,2,No,Fair,Digital,Summarizing,6.0,No
Debra Rivera,4,21100901,1.0,1.25,5.0,1.25,2.0,Irregular,,,,2.1,1,Yes,Fair,Digital,Group Discussions,9.0,No
Stephanie Collins,2,23919909,5.0,3.0,2.25,1.0,5.0,Irregular,5.0,1.75,1.75,3.01,3,Yes,Fair,Handwritten,Pomodoro,9.0,Yes
David Hoffman,1,24279502,2.75,2.75,1.75,2.5,1.25,Regular,,,,2.16,0,Yes,Poor,Handwritten,Group Discussions,17.0,No
Pamela Wilkerson,2,23747805,2.5,1.25,2.0,1.75,1.25,Regular,1.5,2.75,1.25,1.75,0,No,Poor,Digital,Flashcards,19.0,Yes
Tammy Hunt,3,22994057,1.0,3.0,2.25,5.0,2.75,Irregular,2.0,5.0,,3.0,2,No,Fair,Handwritten,Group Discussions,17.0,Yes
Robert Williams,3,22515222,2.25,5.0,2.25,1.0,2.25,Irregular,2.25,2.25,,2.46,1,Yes,Fair,Digital,Pomodoro,17.0,No
Matthew Wolfe,3,22804737,2.5,2.25,2.0,2.5,1.75,Regular,3.0,3.0,,2.43,0,No,Good,Handwritten,Summarizing,19.0,Yes
Deborah Rodgers,2,23831048,2.25,1.5,5.0,1.0,2.75,Irregular,5.0,5.0,1.75,3.07,3,Yes,Fair,Handwritten,Flashcards,15.0,No
Albert Simon,2,23973610,5.0,5.0,2.5,2.0,2.0,Irregular,4.0,1.5,2.5,2.98,3,Yes,Poor,Digital,Group Discussions,17.0,No
Jacqueline Butler,4,21646587,1.75,4.0,2.0,4.0,3.0,Irregular,,,,2.95,2,Yes,Poor,Handwritten,Pomodoro,16.0,No
Robert Sanchez,3,22569642,2.0,4.0,2.5,1.25,2.0,Irregular,3.0,1.75,,2.36,1,No,Fair,Handwritten,Pomodoro,20.0,No
Richard James,2,23704788,4.0,1.75,1.75,1.5,2.5,Irregular,2.75,4.0,2.25,2.5,2,Yes,Fair,Digital,Summarizing,16.0,Yes
Kelly Simpson,1,24465493,3.0,2.75,2.25,1.0,1.75,Regular,,,,2.09,0,Yes,Fair,Handwritten,Pomodoro,17.0,Yes
Karen Jones,4,21147946,4.0,2.75,3.0,2.25,1.0,Irregular,,,,2.6,1,Yes,Good,Handwritten,Pomodoro,18.0,No
Kimberly Smith,4,21055234,2.25,4.0,2.5,5.0,1.0,Irregular,,,,2.95,2,Yes,Good,Digital,Flashcards,6.0,No
William Rivera,4,21444478,2.25,1.5,2.25,2.0,1.0,Regular,,,,1.8,0,Yes,Poor,Handwritten,Pomodoro,16.0,No
Brent Ramos,3,22756612,1.0,2.5,1.5,1.75,1.5,Irregular,5.0,2.5,,2.25,1,No,Poor,Digital,Group Discussions,4.0,No
Samantha Simpson,1,24945607,1.25,1.5,5.0,5.0,2.5,Irregular,,,,3.18,2,Yes,Good,Digital,Pomodoro,13.0,No
Melanie Stevenson,3,22112584,1.25,4.0,2.75,1.25,2.75,Irregular,1.5,1.0,,2.07,1,Yes,Poor,Handwritten,Pomodoro,3.0,No
Helen Simpson,1,24351819,3.0,1.0,3.0,2.5,2.75,Regular,,,,2.41,0,No,Fair,Handwritten,Pomodoro,12.0,Yes
Nicole Wilcox,4,21528659,2.0,5.0,1.25,2.25,4.0,Irregular,,,,2.9,2,Yes,Fair,Digital,Flashcards,16.0,No
Michael Townsend,1,24743183,3.0,1.25,2.75,2.25,2.75,Regular,,,,2.36,0,Yes,Good,Handwritten,Summarizing,17.0,Yes
Linda Parker,3,22624172,2.5,5.0,2.5,5.0,2.75,Irregular,1.25,1.0,,2.86,2,No,Poor,Digital,Pomodoro,16.0,No
Darren Smith,2,23921225,4.0,2.0,3.0,1.5,2.75,Irregular,2.5,1.5,4.0,2.6,2,Yes,Good,Handwritten,Pomodoro,11.0,Yes
Benjamin Osborn,3,22183812,1.0,1.0,2.25,2.0,2.5,Regular,2.25,2.75,,1.96,0,Yes,Good,Digital,Group Discussions,12.0,No
Tanya Marshall,3,22099878,1.0,2.25,1.0,2.75,4.0,Irregular,1.0,1.75,,1.96,1,No,Poor,Handwritten,Flashcards,20.0,No
Morgan Williams,4,21156448,5.0,1.25,4.0,1.75,2.75,Irregular,,,,2.95,2,No,Poor,Digital,Group Discussions,17.0,Yes
Ann Miller,3,22661344,3.0,1.25,1.75,1.0,1.0,Regular,2.75,2.5,,1.89,0,Yes,Good,Handwritten,Group Discussions,19.0,Yes
Stephen Gallagher,4,21416114,2.75,1.0,2.75,2.0,2.0,Regular,,,,2.1,0,Yes,Fair,Handwritten,Summarizing,5.0,Yes
Dustin Cox,2,23718588,1.25,1.75,1.5,5.0,3.0,Irregular,2.0,3.0,2.5,2.55,1,No,Fair,Digital,Summarizing,3.0,Yes
Gary Cruz,4,21871057,4.0,2.0,2.75,1.0,4.0,Irregular,,,,2.75,2,No,Poor,Handwritten,Group Discussions,15.0,No
Tina Gonzalez,4,21063180,3.0,2.5,1.5,1.25,2.75,Regular,,,,2.2,0,No,Poor,Digital,Flashcards,8.0,Yes
Christina Dudley,2,23435066,5.0,3.0,2.25,3.0,3.0,Irregular,2.75,2.75,1.25,2.78,1,No,Good,Handwritten,Group Discussions,15.0,No
Mary Garner,4,21185469,2.5,1.5,2.25,1.75,1.75,Regular,,,,1.95,0,Yes,Good,Digital,Pomodoro,16.0,Yes
Anthony Santos,2,23272675,5.0,3.0,2.75,3.0,2.0,Irregular,2.25,3.0,2.25,2.82,1,No,Poor,Digital,Flashcards,14.0,Yes
Terry Baird,3,22422001,2.0,1.5,4.0,2.75,2.5,Irregular,1.25,4.0,,2.57,2,No,Poor,Handwritten,Group Discussions,11.0,No
Christina Davis,4,21412574,1.5,1.25,2.25,1.75,1.75,Regular,,,,1.7,0,Yes,Good,Digital,Summarizing,5.0,No
Susan Lyons,2,23692119,2.0,2.5,2.0,3.0,5.0,Irregular,1.75,2.75,3.0,2.78,1,No,Poor,Handwritten,Group Discussions,13.0,No
Mr. Logan Bell,2,23242825,1.0,2.25,4.0,1.75,1.75,Irregular,2.0,1.25,2.25,2.08,1,No,Good,Digital,Pomodoro,3.0,Yes
John Hansen,4,21983590,3.0,4.0,2.25,1.0,1.5,Irregular,,,,2.35,1,No,Good,Handwritten,Summarizing,10.0,No
Melissa Flores,3,22650223,1.75,1.25,1.25,4.0,1.25,Irregular,4.0,1.5,,2.14,2,Yes,Fair,Digital,Summarizing,10.0,Yes
Paul Weeks,2,23777956,2.5,2.75,1.0,1.0,1.5,Irregular,4.0,1.5,3.0,2.14,1,Yes,Good,Handwritten,Group Discussions,17.0,Yes
Kathy Smith,1,24385567,4.0,1.5,2.0,1.5,2.0,Irregular,,,,2.07,1,No,Poor,Digital,Summarizing,11.0,Yes
Johnny Arnold,1,24736770,1.25,1.0,1.75,5.0,3.0,Irregular,,,,2.48,1,No,Good,Handwritten,Summarizing,9.0,Yes
Judy Fisher,4,21282906,4.0,3.0,1.0,2.0,2.0,Irregular,,,,2.4,1,Yes,Fair,Digital,Group Discussions,12.0,Yes
Emily Conner,1,24603852,4.0,3.0,2.0,1.75,2.75,Irregular,,,,2.61,1,Yes,Good,Digital,Pomodoro,11.0,No
Stephen Gould,4,21271592,1.25,5.0,1.75,2.75,1.5,Irregular,,,,2.45,1,Yes,Fair,Handwritten,Pomodoro,14.0,No
Ashley Cabrera,4,21482846,2.5,4.0,2.0,2.5,2.75,Irregular,,,,2.75,1,No,Good,Digital,Pomodoro,14.0,No
Amanda Doyle,1,24955439,2.75,4.0,5.0,2.25,2.5,Irregular,,,,3.34,2,Yes,Poor,Digital,Group Discussions,18.0,Yes
Heather Hill,1,24314695,2.0,1.0,2.5,1.0,1.5,Regular,,,,1.57,0,No,Good,Digital,Pomodoro,6.0,No
Terry Cox,1,24319798,4.0,1.0,1.75,2.0,1.25,Irregular,,,,1.86,1,No,Good,Handwritten,Group Discussions,1.0,Yes
Catherine Tate,3,22494038,3.0,2.5,1.5,2.5,3.0,Regular,2.75,2.5,,2.54,0,No,Fair,Digital,Flashcards,17.0,Yes
Keith Scott,4,21910579,3.0,2.0,4.0,2.75,3.0,Irregular,,,,2.95,1,Yes,Good,Handwritten,Summarizing,18.0,Yes
Mark Martin,3,22326487,2.5,2.25,2.5,4.0,2.75,Irregular,5.0,2.75,,3.11,2,No,Good,Handwritten,Pomodoro,5.0,Yes
James Price,1,24568961,2.0,2.75,2.75,1.25,4.0,Irregular,,,,2.59,1,No,Fair,Handwritten,Pomodoro,10.0,Yes
David Martinez,3,22592512,2.25,2.75,1.75,1.75,4.0,Irregular,2.75,1.25,,2.36,1,Yes,Poor,Digital,Pomodoro,6.0,No
Kathleen Patrick,2,23483339,5.0,2.0,2.25,2.5,4.0,Irregular,1.5,4.0,2.0,2.82,3,Yes,Good,Digital,Flashcards,18.0,Yes
Willie Miller,1,24319543,1.0,3.0,2.75,4.0,1.75,Irregular,,,,2.61,1,Yes,Fair,Digital,Group Discussions,10.0,No
Walter Morgan,2,23308572,1.5,2.25,2.75,2.0,3.0,Regular,1.75,1.75,1.5,2.09,0,Yes,Fair,Digital,Flashcards,18.0,No
Jennifer Robinson,4,21546468,2.75,2.25,1.75,5.0,3.0,Irregular,,,,2.95,1,Yes,Poor,Handwritten,Summarizing,12.0,Yes
Teresa Simpson,3,22838227,5.0,1.75,2.25,2.0,3.0,Irregular,4.0,2.0,,2.86,2,No,Poor,Digital,Group Discussions,1.0,Yes
Jean Molina,3,22503099,5.0,5.0,1.25,1.5,2.75,Irregular,3.0,1.5,,2.86,2,No,Good,Handwritten,Group Discussions,12.0,Yes
Julie Miller,4,21220177,2.5,2.75,1.75,5.0,2.0,Irregular,,,,2.8,1,No,Fair,Handwritten,Group Discussions,9.0,No
Mary Edwards,1,24663863,3.0,2.0,1.0,2.25,5.0,Irregular,,,,2.62,1,Yes,Poor,Handwritten,Summarizing,15.0,No
Laura Miller,3,22400076,1.5,2.75,2.0,1.5,1.75,Regular,1.0,1.5,,1.71,0,Yes,Poor,Digital,Flashcards,6.0,No
Arthur Lambert,2,23326678,1.75,3.0,2.25,3.0,2.5,Regular,1.5,2.25,2.25,2.34,0,Yes,Fair,Handwritten,Summarizing,17.0,Yes
Robert Case,4,21589559,4.0,1.75,2.25,2.75,1.75,Irregular,,,,2.5,1,No,Good,Digital,Group Discussions,5.0,No
Jackie Mitchell,3,22889793,1.5,3.0,3.0,1.75,3.0,Regular,1.5,2.0,,2.25,0,No,Fair,Handwritten,Flashcards,5.0,No
Kevin Rivera,4,21557040,2.0,4.0,3.0,4.0,2.75,Irregular,,,,3.15,2,Yes,Fair,Digital,Pomodoro,18.0,No
Jeffrey Lee,3,22354556,3.0,3.0,5.0,2.0,2.0,Irregular,3.0,1.0,,2.71,1,Yes,Good,Handwritten,Group Discussions,18.0,Yes
Laura Jones,3,22756429,1.0,4.0,4.0,1.5,4.0,Irregular,1.75,2.75,,2.71,3,No,Fair,Digital,Summarizing,15.0,Yes
Molly White,4,21461902,1.5,2.0,2.75,2.75,4.0,Irregular,,,,2.6,1,Yes,Poor,Digital,Summarizing,10.0,Yes
Melanie Mitchell,2,23886384,1.25,1.25,2.5,1.5,3.0,Regular,2.25,1.5,1.25,1.84,0,Yes,Poor,Digital,Pomodoro,16.0,No
Amber Harris,4,21090098,1.75,4.0,2.5,2.75,3.0,Irregular,,,,2.8,1,No,Good,Handwritten,Group Discussions,1.0,No
Edward Villarreal,3,22914306,4.0,2.25,2.5,2.5,1.5,Irregular,2.5,4.0,,2.75,2,Yes,Poor,Handwritten,Pomodoro,17.0,Yes
Kevin Lee,4,21334253,2.25,1.5,2.5,2.5,1.0,Regular,,,,1.95,0,Yes,Good,Digital,Pomodoro,7.0,Yes
Kristina Shaw,4,21148989,2.75,3.0,3.0,1.75,1.75,Regular,,,,2.45,0,Yes,Poor,Handwritten,Group Discussions,20.0,No
Judith Knight,4,21655206,2.0,1.75,4.0,2.75,3.0,Irregular,,,,2.7,1,No,Good,Digital,Flashcards,2.0,No
Michael Brown,2,23804328,1.75,1.0,4.0,1.25,2.5,Irregular,5.0,3.0,4.0,2.86,3,No,Good,Handwritten,Flashcards,10.0,No
